브랜드명,상품명,원가,정가,할인율(%)
ILCORSO,에센셜 카라 반팔 니트 다크네이비,"39,000","35,000",11
ILCORSO,에센셜 카라 반팔 니트 블랙,"39,000","35,000",11
ILCORSO,에센셜 카라 반팔 니트 크림,"39,000","35,000",11
ILCORSO,가먼트다잉 코튼 케이블 풀오버 니트 워시드 차콜그레이,"125,000","112,500",10
ILCORSO,에센셜 카라 반팔 니트 라이트그레이,"39,000","35,000",11
HAZZYS MEN,크림 니트조직 솔리드 반집업,"199,000","132,330",34
HAZZYS MEN,네이비 니트조직 솔리드 반집업,"199,000","132,330",34
HAZZYS MEN,차콜 니트조직 솔리드 반집업,"199,000","132,330",34
TNGT,[품절임박특가] 블랙 세미오버핏 하프 집업 니트,"139,000","99,040",29
HAZZYS MEN,네이비 니트조직 티핑블록 반집업,"199,000","132,330",34
TNGT,블루 세미 오버핏 크로쉐 긴팔 니트,"79,000","66,040",17
DAKS MEN,[THE BRISTOL] LIGHT SOFT WOOL 케이블 스웨터,"239,000","172,080",29
ALLEGRI,다크와인《Luxury Silk》레귤러핏 카라넥 스웨터,"390,000","370,500",5
JILLSTUART NEW YORK MEN,블루 스카시 조직 태리 니트,"290,000","247,950",15
MAESTRO MEN,[타임리스] 그레이시블루 메리노 울 100 티에리 스웨터,"189,000","136,080",29
TNGT,그린 오버핏 크로쉐 긴팔 니트,"79,000","66,040",17
DAKS MEN,[LF몰단독/선물포장][닥스훈트] 퓨어 쿨코튼 긴팔 스웨터,"219,000","177,390",19
JILLSTUART NEW YORK MEN,[Essential] 다크터콰이즈블루 실크 터치 라운드 니트,"250,000","237,500",5
TNGT,틸블루 오버핏 부클레 크루넥 니트,"109,000","82,840",24
MAESTRO MEN,[타임리스] 블랙 캐시미어 모크넥 니트,"240,000","172,800",29
HAZZYS MEN,[썸모어] 블랙 면혼방 반팔 카라 니트,"199,000","189,050",5
JILLSTUART NEW YORK MEN,[Essential] 블랙 실크 터치 라운드 니트,"250,000","237,500",5
DAKS MEN,[닥스훈트] 퓨어코튼 엠보체크  반팔 스웨터,"199,000","161,190",19
JILLSTUART NEW YORK MEN,[Essential] 라이트바이올렛 실크 터치 라운드 니트,"250,000","237,500",5
TNGT,[품절임박특가] 네이비 오버핏 케이블 니트,"109,000","82,840",24
DAKS MEN,[LF몰단독/선물포장][닥스훈트] 퓨어 쿨코튼 긴팔 스웨터,"219,000","177,390",19
TNGT,멜란지블루 세미오버핏 캐시미어 블렌드 칼라 니트,"109,000","82,840",24
DAKS MEN,[닥스훈트] 퓨어코튼 엠보체크  반팔 스웨터,"199,000","161,190",19
TNGT,오렌지 세미오버핏 캐시미어 블렌드 크루넥 니트,"109,000","82,840",24
JILLSTUART NEW YORK MEN,[Essential] 다크네이비 실크 터치 카라 니트,"280,000","266,000",5
